sources,target,pieces,cosine,scaled_error,raw_error,sign_agreement,magnitude_ratio,random_percentile_at_least,random_p50,random_p90,random_p95,random_p99,local_abs_max,local_max,local_min,robust_min_cosine,robust_mean_cosine,symmetry,config_json
"5 T + 1 B","Big Hat","6","0.8721","0.4894","0.8948","0.9792","1.6212","0.99","0.5021","0.6678","0.7205","0.7868","false","false","false","0.7328","0.8208","0.6667","[{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-1},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":-1},{""piece"":""Tower"",""type"":""rook"",""x"":0,""y"":-1},{""piece"":""Tower"",""type"":""rook"",""x"":2,""y"":0},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-2},{""piece"":""Big Hat"",""type"":""king"",""x"":0,""y"":2}]"
"1 R + 2 T + 2 A","Triangle Hat","5","0.9162","0.4007","1.5648","1","2.4289","0.99","0.5114","0.7434","0.7706","0.822","false","false","false","0.7367","0.8194","1","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":2},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":-3},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-2,""y"":0},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":2,""y"":0}]"
"2 R + 1 T + 3 A","Triangle Hat","6","0.9207","0.3903","1.6577","1","2.5318","0.99","0.5593","0.7768","0.816","0.8515","false","false","false","0.7995","0.8617","0.6667","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-2,""y"":-2},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":2,""y"":0},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-3,""y"":3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":3,""y"":-3}]"
"2 R + 3 T + 1 B","Big Hat","6","0.8771","0.4802","0.9163","0.9583","1.6575","0.99","0.4839","0.6396","0.6989","0.7557","false","false","false","0.7452","0.8287","0.6667","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":1,""y"":-1},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":1},{""piece"":""Tower"",""type"":""rook"",""x"":0,""y"":1},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":1},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":1},{""piece"":""Big Hat"",""type"":""king"",""x"":0,""y"":-1}]"
"1 T + 4 A","Triangle Hat","5","0.9297","0.3682","1.8477","1","2.7404","0.99","0.531","0.7728","0.812","0.8773","false","false","false","0.7797","0.845","0.8","[{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":2,""y"":0},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-2,""y"":0},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":3,""y"":-1},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-3,""y"":1}]"
"3 R + 2 T","Triangle Hat","5","0.8944","0.4473","1.2405","1","2.0515","0.99","0.4711","0.7029","0.751","0.8067","false","false","false","0.7306","0.7936","0.4","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":-2,""y"":0},{""piece"":""Round Hat"",""type"":""pawn"",""x"":3,""y"":-1},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-3,""y"":-1},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":3},{""piece"":""Tower"",""type"":""rook"",""x"":2,""y"":0}]"
"2 R + 3 T + 1 A","Triangle Hat","6","0.9277","0.3734","1.8225","1","2.7116","0.99","0.4972","0.7117","0.7595","0.8243","false","false","false","0.7829","0.8536","1","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":-2,""y"":0},{""piece"":""Round Hat"",""type"":""pawn"",""x"":2,""y"":0},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":-3},{""piece"":""Tower"",""type"":""rook"",""x"":0,""y"":-2},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":0,""y"":2}]"
"5 A","Triangle Hat","5","0.9279","0.3729","1.8387","1","2.7284","0.99","0.5278","0.7963","0.8421","0.8796","false","false","false","0.7968","0.8551","0.8","[{""piece"":""Triangle Hat"",""type"":""spy"",""x"":0,""y"":-2},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-3,""y"":3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":3,""y"":3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-1,""y"":-3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":0,""y"":2}]"
"1 R + 3 T + 1 A + 1 B","Big Hat","6","0.8741","0.4858","0.9066","0.9583","1.6396","0.99","0.5011","0.6594","0.7106","0.7649","false","false","false","0.7469","0.8274","0.6667","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":-1},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":1},{""piece"":""Tower"",""type"":""rook"",""x"":0,""y"":1},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":1},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":3,""y"":3},{""piece"":""Big Hat"",""type"":""king"",""x"":0,""y"":-1}]"
"3 R + 1 A + 1 B","Big Hat","5","0.8603","0.5097","0.7593","0.9375","1.4231","0.99","0.434","0.6283","0.7119","0.8039","false","false","true","0.6975","0.7917","0.4","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":-1},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-1},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":1},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":3,""y"":-1},{""piece"":""Big Hat"",""type"":""king"",""x"":0,""y"":1}]"
"2 R + 1 T","Triangle Hat","3","0.8401","0.5424","0.7247","1","1.3207","0.99","0.4093","0.6975","0.7314","0.788","false","false","false","0.4992","0.6137","1","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-2,""y"":0},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":3}]"
"2 R + 2 T + 2 A","Triangle Hat","6","0.9123","0.4096","1.557","1","2.4144","0.99","0.5302","0.7469","0.776","0.8434","false","false","false","0.7461","0.8396","0.5","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-2,""y"":-2},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":-3},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":2,""y"":0},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-3,""y"":3}]"
"2 R + 4 A","Triangle Hat","6","0.9235","0.3835","1.772","1","2.6535","0.99","0.55","0.8156","0.8464","0.8857","false","false","false","0.7546","0.8319","0.3333","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":-3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":0,""y"":2},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-1,""y"":3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":1,""y"":-3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-2,""y"":-3}]"
"3 R + 1 A","Round Hat","4","0.9076","0.4198","1.4783","1","2.3251","0.99","0.3251","0.7498","0.8157","0.8745","false","false","false","0.6191","0.7371","0.5","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":3},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":-3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":3,""y"":3}]"
"4 T + 1 A + 1 B","Big Hat","6","0.8641","0.5034","0.8672","0.9792","1.5703","0.99","0.5139","0.6437","0.7053","0.7686","false","false","false","0.7243","0.8153","0.6667","[{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-1},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":-1},{""piece"":""Tower"",""type"":""rook"",""x"":0,""y"":-1},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-2},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-1,""y"":3},{""piece"":""Big Hat"",""type"":""king"",""x"":0,""y"":2}]"
"6 A","Big Hat","6","0.8143","0.5805","0.6122","0.9583","1.0089","0.99","0.6075","0.6716","0.6872","0.7107","false","false","false","0.6849","0.74","1","[{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-3,""y"":-1},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-3,""y"":0},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":3,""y"":1},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":3,""y"":0},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":3,""y"":-3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-3,""y"":3}]"
"1 R + 4 T + 1 A","Big Hat","6","0.8226","0.5686","0.6131","0.9375","1.052","0.99","0.5603","0.638","0.664","0.6919","true","true","false","0.6931","0.7573","0.5","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":-3,""y"":-1},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":1},{""piece"":""Tower"",""type"":""rook"",""x"":0,""y"":1},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":1},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-2},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":3,""y"":-1}]"
"3 R + 3 T","Triangle Hat","6","0.9012","0.4333","1.4004","1","2.2329","0.99","0.4762","0.6997","0.7314","0.7727","false","false","false","0.7582","0.818","0.6667","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":-2,""y"":0},{""piece"":""Round Hat"",""type"":""pawn"",""x"":3,""y"":-1},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-3,""y"":1},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":3},{""piece"":""Tower"",""type"":""rook"",""x"":2,""y"":0},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-3}]"
"5 R","Round Hat","5","0.9301","0.3673","1.9637","1","2.8591","0.99","0.3079","0.7892","0.8318","0.8615","false","false","false","0.7493","0.8367","0.8","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":-3},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":3},{""piece"":""Round Hat"",""type"":""pawn"",""x"":3,""y"":-3}]"
"4 R + 2 T","Triangle Hat","6","0.8799","0.4752","1.1121","1","1.8854","0.99","0.4821","0.7379","0.7814","0.8419","false","false","false","0.6172","0.7555","1","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":-2,""y"":0},{""piece"":""Round Hat"",""type"":""pawn"",""x"":2,""y"":0},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":3},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":-3},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-3}]"
"1 R + 1 A + 2 B","Big Hat","4","0.8738","0.4863","0.9456","0.9583","1.6848","0.99","0.4244","0.6533","0.6942","0.7569","true","true","false","0.7516","0.8171","0.75","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":-3,""y"":0},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-1,""y"":-1},{""piece"":""Big Hat"",""type"":""king"",""x"":0,""y"":2},{""piece"":""Big Hat"",""type"":""king"",""x"":0,""y"":-2}]"
"1 R + 1 T + 4 A","Triangle Hat","6","0.9285","0.3712","1.9414","1","2.8341","0.99","0.5513","0.7802","0.8093","0.8567","false","false","false","0.81","0.8706","0.3333","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":2,""y"":0},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-2,""y"":0},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":3,""y"":1},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-3,""y"":1},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":3,""y"":-3}]"
"1 R + 2 A","Round Hat","3","0.876","0.4823","1.0703","1","1.8315","0.99","0.4016","0.7663","0.8271","0.8619","false","false","false","0.349","0.5663","1","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-3,""y"":3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":3,""y"":3}]"
"2 R + 2 B","Big Hat","4","0.8944","0.4473","1.087","0.9167","1.8851","0.99","0.3953","0.6351","0.6718","0.7463","false","false","true","0.7866","0.8323","1","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":-1},{""piece"":""Round Hat"",""type"":""pawn"",""x"":1,""y"":1},{""piece"":""Big Hat"",""type"":""king"",""x"":0,""y"":-1},{""piece"":""Big Hat"",""type"":""king"",""x"":0,""y"":1}]"
"1 R + 2 T + 2 A + 1 B","Big Hat","6","0.8631","0.5051","0.8929","0.9792","1.5993","0.99","0.5154","0.6565","0.6821","0.7685","false","false","false","0.7273","0.8156","0.6667","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":-1},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":1},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":1},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":0,""y"":1},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":1,""y"":3},{""piece"":""Big Hat"",""type"":""king"",""x"":0,""y"":-2}]"
"1 R + 3 A + 2 B","Big Hat","6","0.8925","0.4511","1.1778","0.9583","1.9805","0.99","0.4882","0.6953","0.7245","0.7682","true","true","false","0.7841","0.8492","0.6667","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":-3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-3,""y"":0},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":1,""y"":1},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":3,""y"":0},{""piece"":""Big Hat"",""type"":""king"",""x"":0,""y"":-2},{""piece"":""Big Hat"",""type"":""king"",""x"":0,""y"":2}]"
"1 R + 2 T + 3 A","Big Hat","6","0.8125","0.5829","0.6192","0.9583","1.0212","0.99","0.5824","0.66","0.6776","0.7035","false","false","false","0.6494","0.7414","0.6667","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":1,""y"":1},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":1},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":-1},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":3,""y"":0},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-3,""y"":0},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-3,""y"":-3}]"
"2 R + 1 T + 2 B","Big Hat","5","0.8747","0.4847","0.9696","0.9583","1.7144","0.99","0.4432","0.6456","0.6821","0.7705","false","false","false","0.7497","0.8309","0.6","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":-3,""y"":-1},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-3,""y"":0},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":-1},{""piece"":""Big Hat"",""type"":""king"",""x"":0,""y"":2},{""piece"":""Big Hat"",""type"":""king"",""x"":0,""y"":-2}]"
"1 R + 3 T + 1 A","Triangle Hat","5","0.8958","0.4445","1.3568","1","2.1776","0.99","0.4906","0.689","0.7224","0.7742","false","false","false","0.6496","0.7848","0.8","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":-3,""y"":-1},{""piece"":""Tower"",""type"":""rook"",""x"":2,""y"":0},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":3},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":-3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-2,""y"":0}]"
