sources,target,pieces,cosine,scaled_error,raw_error,sign_agreement,magnitude_ratio,random_percentile_at_least,random_p50,random_p90,random_p95,random_p99,local_abs_max,local_max,local_min,robust_min_cosine,robust_mean_cosine,symmetry,config_json
"3 R + 2 A","Triangle Hat","5","0.918","0.3967","1.1337","1","1.98","0.99","0.5253","0.8132","0.8504","0.8897","false","false","false","0.7171","0.7889","0.8","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-2,""y"":-3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-1,""y"":-3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-1,""y"":3}]"
"1 R + 3 A","Triangle Hat","4","0.9029","0.4299","0.9631","1","1.7647","0.99","0.5214","0.8091","0.8378","0.8718","false","false","false","0.7399","0.7879","0.75","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-3,""y"":3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":3,""y"":3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-1,""y"":-3}]"
"5 R + 1 A","Triangle Hat","6","0.9151","0.4033","1.1216","1","1.9617","0.99","0.5254","0.8228","0.8479","0.8837","false","false","false","0.7406","0.8168","0.6667","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":-3},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-3},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":3,""y"":-3}]"
"4 R + 2 A","Triangle Hat","6","0.935","0.3547","1.4607","1","2.352","0.99","0.5386","0.8255","0.8565","0.8791","false","false","false","0.7553","0.8367","0.5","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":3},{""piece"":""Round Hat"",""type"":""pawn"",""x"":1,""y"":-3},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":0,""y"":2},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-1,""y"":-3}]"
"4 A","Triangle Hat","4","0.8875","0.4607","0.8876","1","1.6462","0.99","0.5374","0.795","0.8297","0.8803","false","false","false","0.656","0.7519","0.75","[{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-1,""y"":-3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":3,""y"":3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-3,""y"":3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":3,""y"":-3}]"
"2 R + 1 T + 1 A","Triangle Hat","4","0.902","0.4317","1.0551","1","1.8648","0.99","0.4796","0.7357","0.7735","0.8313","false","false","false","0.6567","0.7651","0.5","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-2,""y"":-2},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":2,""y"":0}]"
"5 R + 1 T","Triangle Hat","6","0.8991","0.4378","1.0316","1","1.8332","0.99","0.4635","0.7741","0.8012","0.8423","false","false","false","0.6647","0.7853","0.8333","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":-2,""y"":0},{""piece"":""Round Hat"",""type"":""pawn"",""x"":2,""y"":0},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-3,""y"":1},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":3},{""piece"":""Round Hat"",""type"":""pawn"",""x"":3,""y"":1},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-3}]"
"4 R + 1 T","Triangle Hat","5","0.8873","0.4613","0.9083","1","1.6697","0.99","0.4859","0.7622","0.7959","0.8517","false","false","false","0.597","0.7226","0.8","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-2,""y"":0},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-3,""y"":0},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":-3}]"
"1 R + 4 T + 1 B","Big Hat","6","0.8793","0.4763","0.7943","0.9792","1.515","0.99","0.5055","0.6706","0.7087","0.7523","true","true","false","0.7336","0.8247","0.6667","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":1,""y"":-1},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-1},{""piece"":""Tower"",""type"":""rook"",""x"":0,""y"":-1},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":-1},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-2},{""piece"":""Big Hat"",""type"":""king"",""x"":0,""y"":2}]"
"2 R + 1 T + 2 A","Triangle Hat","5","0.9067","0.4218","1.1547","1","1.9816","0.99","0.5363","0.7799","0.8062","0.8422","false","false","false","0.763","0.813","0.4","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":2,""y"":0},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-2,""y"":-2},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-3,""y"":3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":3,""y"":1}]"
